tweets,id,len,date,source,likes,retweets,polarity,subjectivity
@TheCyrox Dortmund,1185495884617961472,18,2019-10-19 10:00:18,Twitter for Android,1,0,0.0,0.0
@PrimeSerge Dortmund,1185495833019588613,20,2019-10-19 10:00:06,Twitter for Android,1,0,0.0,0.0
@qkakakakakakak 4/5,1185495747405504512,19,2019-10-19 09:59:46,Twitter for Android,1,0,0.0,0.0
@Pat_BvB09 3/5,1185495599241674752,14,2019-10-19 09:59:10,Twitter for Android,0,0,0.0,0.0
@Pat_BvB09 Bayern and Schalke,1185495447693156353,29,2019-10-19 09:58:34,Twitter for Android,0,0,0.0,0.0
@Kingcoman8 Dortmund,1185495244961452034,20,2019-10-19 09:57:46,Twitter for Android,1,0,0.0,0.0
@cfcnils Oh,1185495145107656704,11,2019-10-19 09:57:22,Twitter for Android,0,0,0.0,0.0
@Lewxgoalski Madrid and Spain,1185494980401553410,29,2019-10-19 09:56:43,Twitter for Android,1,0,0.0,0.0
@Mark__THFC Arsenal,1185494728571342848,19,2019-10-19 09:55:43,Twitter for Android,1,0,0.0,0.0
"Guess mine btw, there are 5 teams, first to guess all gets a shoutout",1185494656777441281,69,2019-10-19 09:55:26,Twitter for Android,4,0,0.25,0.33
"@cfcnils Arsenal, spurs or liverpool",1185494177888559104,36,2019-10-19 09:53:32,Twitter for Android,0,0,0.0,0.0
@ICTbayern185 Not blaming you,1185494056614449153,29,2019-10-19 09:53:03,Twitter for Android,0,0,0.0,0.0
@ApoorvMathur15 Madrid and Dortmund,1185493836094754816,35,2019-10-19 09:52:10,Twitter for Android,0,0,0.0,0.0
@ICTbayern185 Dortmund,1185493707245703168,22,2019-10-19 09:51:39,Twitter for Android,0,0,0.0,0.0
@paulepanter33 Madrid,1185493564207325184,21,2019-10-19 09:51:05,Twitter for Android,0,0,0.0,0.0
@x42jonas Dortmund and madrid,1185493363182710784,29,2019-10-19 09:50:17,Twitter for Android,1,0,0.0,0.0
@nathbapi9 Madrid and the ref,1185493311752167425,29,2019-10-19 09:50:05,Twitter for Android,1,0,0.0,0.0
@DerDragon7 Dortmund or Madrid,1185493140758769664,30,2019-10-19 09:49:24,Twitter for Android,1,0,0.0,0.0
@ftbl_gaz United or city,1185493034248691712,24,2019-10-19 09:48:59,Twitter for Android,1,0,0.0,0.0
@RoflderEchte City and madrid,1185492862332526593,29,2019-10-19 09:48:18,Twitter for Android,1,0,0.0,0.0
@Kimmich_WRLD Real madrid,1185492655754678273,25,2019-10-19 09:47:29,Twitter for Android,1,0,0.2,0.3
@MarcelFCB_ Real madrid,1185492587576250369,23,2019-10-19 09:47:12,Twitter for Android,1,0,0.2,0.3
"@CFCEllis__ Spurs, city?",1185492484899647489,24,2019-10-19 09:46:48,Twitter for Android,1,0,0.0,0.0
"@JosephDundas I'll go with Chelsea, Tottenham is too shit to dislike",1185492405551804416,68,2019-10-19 09:46:29,Twitter for Android,0,0,-0.2,0.8
@CFCEllis__ Arsenal obviously,1185492100441411584,29,2019-10-19 09:45:16,Twitter for Android,1,0,0.0,0.5
Reply and I'll guess which teams you hate,1185491846916640768,41,2019-10-19 09:44:16,Twitter for Android,28,0,-0.8,0.9
This was under a Bayern 6-0 Dortmund video,1185487162571141120,42,2019-10-19 09:25:39,Twitter for Android,9,0,0.0,0.0
@PRIMELampard Lewandowski?,1185486979372343296,26,2019-10-19 09:24:55,Twitter for Android,2,0,0.0,0.0
https://t.co/PiaTOpvtnJ,1185486937412509696,23,2019-10-19 09:24:45,Twitter for Android,18,0,0.0,0.0
I remember someone saying that Der Klassiker should be between Schalke and Bayern.,1185483831161298944,82,2019-10-19 09:12:25,Twitter for Android,23,0,0.0,0.0
@Hugo6292 @SxrgioSzn At least Americans don't sound like they're sucking dick while talking,1185477404162174976,91,2019-10-19 08:46:52,Twitter for Android,0,0,0.05,0.4
@Hugo6292 @SxrgioSzn https://t.co/BEcp9ufWXf,1185477036317523968,44,2019-10-19 08:45:25,Twitter for Android,0,0,0.0,0.0
@SxrgioSzn American,1185463820963237889,19,2019-10-19 07:52:54,Twitter for Android,0,0,0.0,0.0
"@DerDragon7 Rainbow flick ain't that hard, i can do it in my sleep",1185463506981785600,66,2019-10-19 07:51:39,Twitter for Android,1,0,-0.29,0.54
Bavarian Derby,1185451449381203968,14,2019-10-19 07:03:44,Twitter for Android,13,0,0.0,0.0
@myre_x Spotify played that song after i read this tweet,1185445539229437953,56,2019-10-19 06:40:15,Twitter for Android,1,0,0.0,0.0
@myre_x I don't like to fb and i also unfollowed some people,1185443963039371264,60,2019-10-19 06:33:59,Twitter for Android,1,0,0.0,0.0
@ForeverMCity No,1185443829471682560,16,2019-10-19 06:33:28,Twitter for Android,1,0,0.0,0.0
@ForeverMCity https://t.co/QKl5OA3SEV,1185443786215903232,37,2019-10-19 06:33:17,Twitter for Android,0,0,0.0,0.0
Like 50 people unfollowed me this week lmao but i still grew by 60 followers,1185442616407707648,76,2019-10-19 06:28:38,Twitter for Android,19,0,0.6,1.0
@ForeverMCity It's not even arguable. Lewy is miles ahead.,1185441268513546240,58,2019-10-19 06:23:17,Twitter for Android,0,0,0.0,0.0
@PhonziePhenom19 @SuleSZN @FCBayernUS Commie,1185440259133317120,44,2019-10-19 06:19:16,Twitter for Android,2,0,0.0,0.0
@PhonziePhenom19 @SuleSZN @FCBayernUS doxxed your face so what's wrong?,1185439825907867648,71,2019-10-19 06:17:33,Twitter for Android,0,0,-0.5,0.9
@ForeverMCity Lewandowski,1185438708687933440,25,2019-10-19 06:13:07,Twitter for Android,1,0,0.0,0.0
"""Is Aguero or Kane better than Lewandowski?"" https://t.co/798HcUN0w8",1185438018720718849,68,2019-10-19 06:10:22,Twitter for Android,31,3,0.5,0.5
@SliceOfYams Ok,1185423408252801024,15,2019-10-19 05:12:19,Twitter for Android,1,0,0.5,0.5
RT @BayernMentality: Places where Robert Lewandowski is the Greatest Striker ever https://t.co/FELSZdCgPf,1185421767189454848,105,2019-10-19 05:05:48,Twitter for Android,0,20,1.0,1.0
I found my charger,1185421690156789761,18,2019-10-19 05:05:29,Twitter for Android,7,0,0.0,0.0
