tweets,id,len,date,source,likes,retweets,polarity,subjectivity
@tetisheri Aegis. Build at the speed of light!,1152851903018967040,46,2019-07-21 08:04:47,Twitter for Android,1,0,0.4,0.7
RT @CB_Aman: Speaking on @IndiaAheadNews on the Jadhav case yesterday. - https://t.co/5erqrpWua1. Somethings that I did not spell out as cl…,1151953840847147008,140,2019-07-18 20:36:12,Twitter for Android,0,3,0.0,0.0
I'm here for all the avial hate! Tis the worst. https://t.co/fS1L1SMaeB,1151015440094646272,71,2019-07-16 06:27:20,Twitter for Android,1,0,-0.9,0.95
#1 I guess. :p https://t.co/dklOYLdNK4,1146738511833231360,38,2019-07-04 11:12:21,Twitter for Android,1,0,0.0,0.0
@vinaykesari @sowmyarao_ @RohanV @sahilkini @PedestrianPoet @nandiniv @Shrabonti @krishashok @stratechery… https://t.co/PU33yMCcRq,1146393010285899777,130,2019-07-03 12:19:27,Twitter for Android,0,0,0.0,0.0
"RT @MaLawdy: this is a Q4 onwards project but:

I'm looking for law-people interested in data collection across a variety of fora (tahsilda…",1146254083830870016,140,2019-07-03 03:07:24,Twitter for Android,0,13,0.25,0.5
"RT @MalwareJake: Next, next, next gen endpoint protection. https://t.co/Ua2T65tANa",1145589103494172673,82,2019-07-01 07:05:00,Twitter for Android,0,1533,0.0,0.0
@LowAndDry @NoStance @life_trotter Throwing shade at two people at once. Nice!,1145020400356560896,78,2019-06-29 17:25:11,Twitter for Android,3,0,0.6,1.0
@life_trotter @NitinJkrish,1144889140716027904,26,2019-06-29 08:43:36,Twitter for Android,0,0,0.0,0.0
"RT @induviduality: About a month or so back, a 14-year-old girl came home. Her mother works in the neighbourhood. She approached my father…",1143799273839984640,139,2019-06-26 08:32:52,Twitter for Android,0,274,0.05,0.1
RT @YayaatiJoshi: @RohdeD @MaxBoot @MichaelSctMoore Budget Airlines: your move.,1143477274823446528,79,2019-06-25 11:13:21,Twitter for Android,0,16,0.0,0.0
"@tetisheri ""Let's put one scene"".",1142150011246936066,33,2019-06-21 19:19:17,Twitter for Android,1,0,0.0,0.0
"RT @life_trotter: Stories like these is why I started Indieheroes. This is part 1 of 6.

Rest at https://t.co/wPhZng01t3

(with @NirmalSBha…",1141742634030907394,140,2019-06-20 16:20:31,Twitter for Android,0,2,0.0,0.0
RT @SP1DERBOI: This dude walked up to me and complimented me on my shirt. seemed kinda off so I was set to say thanks for the compliment an…,1141364911743725568,140,2019-06-19 15:19:35,Twitter for Android,0,86173,0.2,0.2
RT @free_thinker: This is journalism of courage by @aajtak. Heckling the nurses and doctors and creating nuisance inside a hospital award.…,1141354769157464064,139,2019-06-19 14:39:16,Twitter for Android,0,8596,0.0,0.0
RT @Asfand781: Can’t even laugh at this because this is actually how I’m feeling 🤧😭 https://t.co/efmCbFoGEd,1140486091348176896,107,2019-06-17 05:07:28,Twitter for Android,0,3101,0.15,0.1
RT @YoursLegallyy: We might be winning the match but Pakistanis totally won on Twitter today!! 😁😁,1140321426001448960,97,2019-06-16 18:13:08,Twitter for Android,0,10706,0.25,0.75
