tweets,id,len,date,source,likes,retweets,polarity,subjectivity
@BLRAirport @bigfmindia has launched the #plasticbeku campaign to make polymer roads using no recyclable plastic.… https://t.co/UcxgsM4Gmm,1177275141086175233,138,2019-09-26 17:34:01,Twitter for Android,3,2,0.0,0.0
@sandeepdhar10 @narendramodi Quite an opportunity 9,1176145777581678593,51,2019-09-23 14:46:19,Twitter for Android,1,0,0.0,0.0
"Just witnessed a spectacular performance put together by @IsraelBangalore @DanaKursh @SeidmanAriel 
Breaking barrie… https://t.co/fg2sM5Bphc",1172219090640916480,140,2019-09-12 18:43:04,Twitter for Android,2,0,0.6,0.9
Savage https://t.co/3viaAbvj5E,1105446380510703616,30,2019-03-12 12:32:09,Twitter for Android,0,0,0.0,0.0
@sandeepdhar10 @NEWS9TWEETS Happy 10 years @NEWS9TWEETS  A very proud moment indeed. Truly lucky to be part of a great team. #NEWS9Turns10,1094161765179375616,138,2019-02-09 09:11:08,Twitter for Android,26,14,0.73,0.9
@sandeepdhar10 A great loss indeed 🙏,1087300850643398662,36,2019-01-21 10:48:18,Twitter for Android,0,0,0.8,0.75
@sandeepdhar10 @NEWS9TWEETS Great news!,1070568069318279168,39,2018-12-06 06:38:12,Twitter for Android,0,0,0.8,0.75
@pewdiepie This is epic,1058671737573801985,23,2018-11-03 10:46:26,Twitter for Android,0,0,0.1,0.4
"High drama at the parliament. @RahulGandhi hugs  @narendramodi and winks.
@INCIndia @BJP4India https://t.co/BzS8Y7L8TT",1020233650477051904,118,2018-07-20 09:07:11,Twitter for Android,1,0,0.16,0.54
