tweets,id,len,date,source,likes,retweets,polarity,subjectivity
@shohinisengupta Over Digvijay Singh no less.,1131431645364404226,45,2019-05-23 05:28:19,Twitter Web Client,1,0,0.08,0.07
@Hyper_aice Every silver lining has a cloud I guess. :P,1130457462270595072,55,2019-05-20 12:57:16,Twitter Web Client,0,0,0.0,0.0
@zomatocare @ZomatoIN Hi. What's the resolution?,1071796775084732417,48,2018-12-09 16:00:38,Twitter Web App,0,0,0.0,0.0
@zomatocare @ZomatoIN Just DMd,1071794946359709696,30,2018-12-09 15:53:22,Twitter Web App,0,0,0.0,0.0
@ZomatoIN had the worst experience with you today. Ordered at 7:45. Restraunt and delivery boy were unreachable for… https://t.co/QCWzQzIEKB,1071794225220476928,140,2018-12-09 15:50:30,Twitter Web App,0,0,-1.0,1.0
Your friends on the right in the US seem to be arguing the same about Berkeley. The college campus has always been… https://t.co/SlmTjn7Ha7,1047456068278734848,139,2018-10-03 11:59:22,Twitter for Android,0,0,0.14,0.33
Who else wondered why a professor of English was getting a Nobel prize in physics?  Just me? Cool. https://t.co/GDqicLu3rc,1047088257345892352,122,2018-10-02 11:37:49,Twitter for Android,6,0,0.17,0.33
@HavaldarShinde @timesofindia @TOIChennai True. Also the headline is based off of one random comment in the article… https://t.co/vIbixipMvo,1046471756666482688,140,2018-09-30 18:48:03,Twitter for Android,0,0,-0.08,0.57
@HavaldarShinde @timesofindia @TOIChennai Really irresponsible reporting!,1046470193336074240,73,2018-09-30 18:41:51,Twitter for Android,0,0,0.2,0.2
"@shonottra Hey, someone I know is interested. Please could you open your dms to me, she doesn't have Twitter and I can give you her email.",1045681982837993475,138,2018-09-28 14:29:47,Twitter for Android,0,0,0.12,0.5
"@shonottra Might know someone, let me reach out to her and let you know if she's interested.",1045669143524122624,92,2018-09-28 13:38:46,Twitter for Android,0,0,0.25,0.5
@shonottra @NyaayaIN @RuchiKumar @MariyaS87 @adityampaul @suchindranbn @CB_Aman @pinthecreep @salonikap Location?,1045666166491029505,113,2018-09-28 13:26:56,Twitter for Android,0,0,0.0,0.0
@shreyamunot @akritigaur Also I think in the Srikrishna Committee Report.,1045373593985511424,73,2018-09-27 18:04:21,Twitter for Android,2,0,0.0,0.0
@kansmckans https://t.co/ypcA0D4Mix,1045313266845605895,35,2018-09-27 14:04:38,Twitter for Android,0,0,0.0,0.0
"@kansmckans Lol was it the whole, ""wHaT abOUt tHE SaNcTiTy oF mArrIAGe"" argument?",1045311809102667777,81,2018-09-27 13:58:50,Twitter for Android,0,0,0.5,0.55
"@pranesh @MaLawdy You're right, thanks! :)",1044891242126077954,42,2018-09-26 10:07:39,Twitter for Android,0,0,0.24,0.37
@pranesh @PoojaPrasanna4 @UIDAI It's time for Bangalore to lead on tech policy. Possible DPA here?,1044880131775451137,98,2018-09-26 09:23:31,Twitter for Android,1,0,0.0,1.0
"@pranesh @MaLawdy Just curious though, given that the *use* of the Aadhaar auth comes from Ss. 7 and 8 largely, whe… https://t.co/pZVLx3c6SO",1044877614526156800,140,2018-09-26 09:13:30,Twitter for Android,0,0,0.06,0.71
@MaLawdy @pranesh And again. https://t.co/stGEJu1xyr,1044868052406480896,52,2018-09-26 08:35:31,Twitter for Android,0,0,0.0,0.0
@MaLawdy @pranesh Seems clear to me. https://t.co/ngpioDzIEO,1044865435219505153,60,2018-09-26 08:25:07,Twitter for Android,0,0,0.1,0.38
@MaLawdy @pranesh https://t.co/bR12rqCfIB,1044864219299164162,41,2018-09-26 08:20:17,Twitter for Android,0,0,0.0,0.0
"@MaLawdy @pranesh If there is an express statement saying ""use by private parties is unconstitutional"" though this… https://t.co/9nCP09Hpo3",1044863270971219970,139,2018-09-26 08:16:31,Twitter for Android,0,0,0.0,0.38
"@MaLawdy @pranesh https://t.co/TEwxKtuayz

Possible, yes.",1044861506666582017,57,2018-09-26 08:09:30,Twitter for Android,0,0,0.0,1.0
